cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
12096	32	non	74	110	2	na
12256	160	non	74	0	2	na
12288	32	non	74	110	2	na
12448	160	non	74	0	2	na
12480	32	non	75	110	2	na
12640	160	non	75	0	2	na
12672	32	non	75	110	2	na
12832	160	non	75	0	2	na
12864	32	non	75	110	2	na
13024	160	non	75	0	2	na
13056	32	non	75	110	2	na
13216	160	non	75	0	2	na
13248	32	non	72	110	2	na
13408	160	non	72	0	2	na
13440	32	non	72	110	2	na
13600	160	non	72	0	2	na
13632	32	non	72	110	2	na
13792	160	non	72	0	2	na
13824	32	non	72	110	2	na
13984	160	non	72	0	2	na
14016	32	non	74	110	2	na
14176	160	non	74	0	2	na
14208	32	non	74	110	2	na
14368	160	non	74	0	2	na
14400	32	non	74	110	2	na
14560	160	non	74	0	2	na
14592	32	non	74	110	2	na
14752	160	non	74	0	2	na
14784	32	non	72	110	2	na
14944	160	non	72	0	2	na
14976	32	non	72	110	2	na
15136	160	non	72	0	2	na
15168	32	non	72	110	2	na
15328	160	non	72	0	2	na
15360	32	non	72	110	2	na
15520	160	non	72	0	2	na
15552	32	non	70	110	2	na
15694	142	non	70	0	2	na
15696	2	non	75	110	2	na
15814	118	non	75	0	2	na
15816	2	non	79	110	2	na
15934	118	non	79	0	2	na
15936	2	non	75	110	2	na
16078	142	non	75	0	2	na
16080	2	non	70	110	2	na
16198	118	non	70	0	2	na
16200	2	non	75	110	2	na
16318	118	non	75	0	2	na
16320	2	non	77	110	2	na
16480	160	non	77	0	2	na
18240	1760	non	79	110	2	na
18334	94	non	79	0	2	na
18336	2	non	77	110	2	na
18430	94	non	77	0	2	na
18432	2	non	77	110	2	na
18592	160	non	77	0	2	na
18624	32	non	75	110	2	na
18718	94	non	75	0	2	na
18720	2	non	77	110	2	na
18814	94	non	77	0	2	na
18816	2	non	75	110	2	na
18976	160	non	75	0	2	na
19008	32	non	74	110	2	na
19168	160	non	74	0	2	na
19200	32	non	75	110	2	na
19360	160	non	75	0	2	na
19392	32	non	82	110	2	na
19552	160	non	82	0	2	na
19584	32	non	81	110	2	na
19678	94	non	81	0	2	na
19680	2	non	79	110	2	na
19774	94	non	79	0	2	na
19776	2	non	77	110	2	na
19870	94	non	77	0	2	na
19872	2	non	75	110	2	na
19966	94	non	75	0	2	na
19968	2	non	77	110	2	na
20062	94	non	77	0	2	na
20064	2	non	79	110	2	na
20158	94	non	79	0	2	na
20160	2	non	79	110	2	na
20320	160	non	79	0	2	na
20352	32	non	77	110	2	na
20512	160	non	77	0	2	na
20736	224	non	79	110	2	na
20830	94	non	79	0	2	na
20832	2	non	81	110	2	na
20926	94	non	81	0	2	na
20928	2	non	81	110	2	na
21088	160	non	81	0	2	na
21120	32	non	79	110	2	na
21280	160	non	79	0	2	na
21312	32	non	77	110	2	na
21472	160	non	77	0	2	na
21504	32	non	79	110	2	na
21664	160	non	79	0	2	na
21696	32	non	77	110	2	na
21856	160	non	77	0	2	na
21888	32	non	75	110	2	na
22048	160	non	75	0	2	na
22080	32	non	75	110	2	na
22240	160	non	75	0	2	na
22272	32	non	77	110	2	na
22432	160	non	77	0	2	na
22464	32	non	77	110	2	na
22624	160	non	77	0	2	na
23424	800	non	74	110	2	na
23518	94	non	74	0	2	na
23520	2	non	72	110	2	na
23614	94	non	72	0	2	na
23616	2	non	74	110	2	na
23710	94	non	74	0	2	na
23712	2	non	75	110	2	na
23806	94	non	75	0	2	na
23808	2	non	77	110	2	na
23968	160	non	77	0	2	na
24000	32	non	84	110	2	na
24160	160	non	84	0	2	na
24192	32	non	86	110	2	na
24352	160	non	86	0	2	na
24384	32	non	84	110	2	na
24544	160	non	84	0	2	na
24576	32	non	82	110	2	na
24736	160	non	82	0	2	na
24768	32	non	77	110	2	na
24928	160	non	77	0	2	na
24960	32	non	77	110	2	na
25120	160	non	77	0	2	na
25152	32	non	79	110	2	na
25312	160	non	79	0	2	na
25344	32	non	79	110	2	na
25504	160	non	79	0	2	na
25536	32	non	82	110	2	na
25696	160	non	82	0	2	na
25728	32	non	79	110	2	na
26064	336	non	79	0	2	na
26112	48	non	77	110	2	na
26448	336	non	77	0	2	na
26496	48	non	77	110	2	na
26832	336	non	77	0	2	na
26880	48	non	75	110	2	na
27216	336	non	75	0	2	na
27264	48	non	74	110	2	na
27984	720	non	74	0	2	na
cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
0	0	non	70	110	3	na
160	160	non	70	0	3	na
384	224	non	70	110	3	na
544	160	non	70	0	3	na
768	224	non	70	110	3	na
928	160	non	70	0	3	na
1152	224	non	70	110	3	na
1312	160	non	70	0	3	na
1728	416	non	70	110	3	na
1888	160	non	70	0	3	na
